apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
venome.spiderman.rope.hero.vice.rope.heros,True,United States,dp_clause,False,True,True,True,True
com.birdydogstudio.oceanishome,True,United States,dp_clause,False,True,True,False,False
com.amazing.spider.rope.hero.ninja.gangster.crimecity,True,United States,dp_clause,False,True,True,True,True
freedom.bubble,True,United States,dp_clause,False,True,True,False,False
com.spider.ropehero.gangster.crimecity,True,United States,dp_clause,False,True,True,True,True
com.bl.critical.strike,True,United States,dp_clause,False,True,True,True,True
com.ketchapp.jellyjump,True,United States,dp_clause,False,False,True,False,False
com.nbstudio.towercolor,True,United States,dp_clause,False,False,True,False,False
com.ketchapp.flippyrace,True,United States,dp_clause,False,False,True,False,False
com.whaleapp.huntermaster,True,United States,dp_clause,False,False,True,False,False
com.Stellar.StackFall,True,United States,dp_clause,False,True,True,False,False
com.ankama.kingtongue,True,United States,dp_clause,False,True,True,False,False
com.ty.driftycar,True,United States,dp_clause,False,True,True,True,True
com.honikougames.royale.io,True,United States,dp_clause,False,True,True,False,False
com.rocketjump.majormayhem2,True,United States,dp_clause,False,True,True,False,False
com.twistygames.animalrescue,True,United States,dp_clause,False,True,True,False,False
com.ketchapp.pope,True,United States,dp_clause,False,False,True,False,False
bubbles.pop.power,True,United States,dp_clause,False,True,True,False,False
com.ketchapp.dunkshot,True,United States,dp_clause,False,False,True,False,False
com.h8games.blocksbuster,True,United States,dp_clause,False,True,True,False,False
com.ketchapp.screamhero,True,United States,dp_clause,False,False,True,False,False
com.ketchapp.thefloorislava,True,United States,dp_clause,False,False,True,False,False
com.whatgames.android.ANMP.FAHM,True,United States,dp_clause,False,False,True,False,False
com.neonplay.casualsoccerkickandroid,True,United States,dp_clause,False,True,True,False,False
com.ankama.dragnboom,True,United States,dp_clause,False,True,True,False,False
com.lumic.fotg,True,United States,dp_clause,False,True,True,False,False
com.mizoo.farmerio,True,United States,dp_clause,False,True,True,False,False
com.chillingo.incrediblejack.android.rowgplay1,True,United States,dp_clause,False,True,True,False,False
gluumi.gunfit.esatmoni,True,United States,dp_clause,False,True,True,False,False
com.kwalee.jetpackjump,True,United States,dp_clause,False,False,True,True,False
com.ilyon.cuberush,True,United States,dp_clause,False,True,True,False,False
com.highcore.hoopstars,True,United States,dp_clause,False,True,True,False,False
com.GameFactory.DrawCar,True,United States,dp_clause,False,True,True,False,False
com.XTechStudios.snakeIO,True,United States,dp_clause,False,True,True,False,False
com.zplay.willhero,True,United States,dp_clause,False,True,True,False,False
